City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
271,Miracema Do Tocantins,BR,84.49,clear sky,-9.56,-48.4,Miami Apart Hotel
273,Mitsamiouli,KM,77.54,clear sky,-11.38,43.28,Foyer ADM
303,Navrongo,GH,82.33,scattered clouds,10.9,-1.09,Azakka Hotel
307,Katherine,AU,86.0,scattered clouds,-14.47,132.27,Pine Tree Motel
308,Puerto Suarez,BO,83.01,overcast clouds,-18.95,-57.8,Hotel casa real
309,Mozarlandia,BR,84.79,broken clouds,-14.74,-50.57,Hotel Santa Mônica
313,Dubbo,AU,80.6,broken clouds,-32.25,148.62,Comfort Inn Blue Lagoon
315,Mecca,SA,79.16,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
318,Ahuimanu,US,84.2,overcast clouds,21.44,-157.84,Paradise Bay Resort
320,Auki,SB,86.54,light rain,-8.77,160.7,Auki Motel
322,Urucui,BR,83.34,few clouds,-7.23,-44.56,Formula Flat Uruçui
324,Banjar,ID,82.4,few clouds,-8.19,114.97,The Hamsa Resort
333,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
335,Benghazi,LY,80.76,scattered clouds,32.12,20.07,Tibesti Hotel
338,Pontianak,ID,78.98,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
342,Koumac,NC,75.6,clear sky,-20.57,164.28,Le Monitel
343,San Rafael,AR,76.57,light rain,-34.62,-68.33,Hotel San Rafael
350,Puerto Quijarro,BO,82.83,few clouds,-17.78,-57.77,Hotel palance
352,Hambantota,LK,78.17,scattered clouds,6.12,81.12,Bungalow 63
354,Kavieng,PG,84.13,overcast clouds,-2.57,150.8,Nusa Island Retreat
359,Byron Bay,AU,77.0,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
360,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
362,Roebourne,AU,76.33,light rain,-20.78,117.13,Harding River Caravan Park
364,Port Blair,IN,80.06,light rain,11.67,92.75,Fortune Resort Bay Island
368,Bireun,ID,79.16,overcast clouds,5.2,96.7,OYO 2303 Hotel Blang Raya
372,Puerto Madero,MX,78.8,scattered clouds,14.72,-92.42,Hotel La Central
374,Weligama,LK,77.81,scattered clouds,5.97,80.42,Weligama Bay Resort
379,Sinnamary,GF,79.86,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
383,Guantanamo,CU,86.0,broken clouds,20.14,-75.21,Hotel Marti
384,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
385,Luganville,VU,82.4,scattered clouds,-15.53,167.17,The Espiritu Hotel
387,Ugoofaaru,MV,82.08,few clouds,5.67,73.0,Ungoofaaru Inn
390,Atlantic Beach,US,77.0,clear sky,30.33,-81.4,One Ocean Resort & Spa
392,Aswan,EG,80.83,clear sky,24.09,32.91,Nuba Nile
394,Barahona,DO,82.11,light rain,18.21,-71.1,Hotel Caribe
395,Maningrida,AU,85.06,scattered clouds,-12.07,134.27,Dhukurrdji Lodge
396,Port Antonio,JM,86.0,few clouds,18.18,-76.46,Trident Hotel
400,Alugan,PH,83.21,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
405,Sibolga,ID,76.57,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
409,Pemba,MZ,77.0,scattered clouds,-12.97,40.52,Guesthouse Samotina
413,Marsh Harbour,BS,81.18,overcast clouds,26.54,-77.06,Abaco Beach Resort
414,Port Macquarie,AU,80.01,scattered clouds,-31.43,152.92,Rydges Port Macquarie
416,Tsabong,BW,80.06,clear sky,-26.02,22.4,Springbok Motel
418,Luis Gil Perez,MX,82.4,scattered clouds,17.87,-93.05,Cancha de Fútbol
420,Phan Thiet,VN,76.26,overcast clouds,10.93,108.1,Hotel Saigon-PT
421,Lodwar,KE,85.24,scattered clouds,3.12,35.6,Turkwel Lodge
429,Mancio Lima,BR,76.44,overcast clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
439,Kulhudhuffushi,MV,81.97,broken clouds,6.62,73.07,Haajy Guest House 1
443,Matamoros,MX,86.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
447,Bouna,CI,75.02,overcast clouds,9.27,-3.0,Hotel Reserve
448,Bac Lieu,VN,78.82,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
449,Mount Isa,AU,87.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
456,Rondonopolis,BR,80.96,broken clouds,-16.47,-54.64,Serras Hotel
460,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
