,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Plettenberg Bay,-34.05,23.37,57.29,78,99,2.15,ZA,2020-10-19 03:39:19,overcast clouds
1,Almaznyy,48.04,40.05,53.6,66,100,6.71,RU,2020-10-19 03:39:20,overcast clouds
2,Barrow,71.29,-156.79,23.0,79,90,14.99,US,2020-10-19 03:35:04,overcast clouds
3,Maxixe,-23.86,35.35,69.64,78,0,4.14,MZ,2020-10-19 03:39:20,clear sky
4,Ushuaia,-54.8,-68.3,37.4,74,20,16.11,AR,2020-10-19 03:35:09,few clouds
5,Port Alfred,-33.59,26.89,60.64,84,70,3.18,ZA,2020-10-19 03:39:21,broken clouds
6,Buala,-8.14,159.59,85.68,69,32,4.97,SB,2020-10-19 03:36:03,light rain
7,Butaritari,3.07,172.79,82.04,72,35,15.84,KI,2020-10-19 03:39:22,scattered clouds
8,Mae Sai,20.43,99.88,73.4,88,40,9.17,TH,2020-10-19 03:39:22,scattered clouds
9,Port Blair,11.67,92.75,82.53,81,99,18.28,IN,2020-10-19 03:39:23,moderate rain
10,Rikitea,-23.12,-134.97,74.62,81,100,20.0,PF,2020-10-19 03:39:23,light rain
11,Pankrushikha,53.83,80.34,35.01,81,52,10.49,RU,2020-10-19 03:39:23,broken clouds
12,Cape Town,-33.93,18.42,61.0,87,86,8.05,ZA,2020-10-19 03:37:02,overcast clouds
13,Mount Isa,-20.73,139.5,98.6,13,48,8.05,AU,2020-10-19 03:36:20,scattered clouds
14,Yellowknife,62.46,-114.35,23.0,92,90,2.24,CA,2020-10-19 03:36:52,light snow
15,Santa Rosa,14.31,121.11,89.6,59,75,9.17,PH,2020-10-19 03:39:25,broken clouds
16,Umm Kaddadah,13.6,26.69,79.45,17,17,6.33,SD,2020-10-19 03:39:25,few clouds
17,Ostrovnoy,68.05,39.51,36.3,80,100,15.52,RU,2020-10-19 03:39:25,overcast clouds
18,Khatanga,71.97,102.5,9.61,90,0,7.83,RU,2020-10-19 03:39:25,clear sky
19,Bluff,-46.6,168.33,53.01,76,92,10.0,NZ,2020-10-19 03:39:26,overcast clouds
20,Avarua,-21.21,-159.78,78.8,74,32,5.82,CK,2020-10-19 03:36:05,scattered clouds
21,Salalah,17.02,54.09,75.2,41,75,2.24,OM,2020-10-19 03:39:26,broken clouds
22,Yaransk,57.3,47.89,39.04,83,91,15.5,RU,2020-10-19 03:39:26,overcast clouds
23,Mataura,-46.19,168.86,53.01,76,100,10.0,NZ,2020-10-19 03:35:08,overcast clouds
24,Meulaboh,4.14,96.13,87.06,58,85,1.34,ID,2020-10-19 03:39:27,overcast clouds
25,Pisco,-13.7,-76.22,64.4,72,0,6.93,PE,2020-10-19 03:39:27,clear sky
26,Lebu,-37.62,-73.65,47.93,86,38,1.77,CL,2020-10-19 03:39:28,scattered clouds
27,Kirakira,-10.45,161.92,83.7,76,91,7.96,SB,2020-10-19 03:39:28,moderate rain
28,Awjilah,29.11,21.29,71.44,62,75,8.55,LY,2020-10-19 03:39:29,broken clouds
29,Port Elizabeth,-33.92,25.57,53.6,93,40,2.35,ZA,2020-10-19 03:39:29,scattered clouds
30,Chifeng,42.27,118.96,60.4,30,1,9.64,CN,2020-10-19 03:39:29,clear sky
31,Dingle,11.0,122.67,85.17,76,98,8.48,PH,2020-10-19 03:39:30,overcast clouds
32,Albany,42.6,-73.97,54.0,64,79,6.85,US,2020-10-19 03:36:56,broken clouds
33,Jamestown,42.1,-79.24,55.0,62,90,10.29,US,2020-10-19 03:35:03,overcast clouds
34,Castro,-24.79,-50.01,59.04,93,80,7.4,BR,2020-10-19 03:39:31,broken clouds
35,Tuatapere,-46.13,167.68,53.01,76,100,10.0,NZ,2020-10-19 03:39:31,overcast clouds
36,Chuy,-33.7,-53.46,61.9,89,0,6.67,UY,2020-10-19 03:37:28,clear sky
37,Poya,-21.35,165.15,78.31,47,7,5.86,NC,2020-10-19 03:39:31,clear sky
38,Atuona,-9.8,-139.03,78.53,74,1,19.44,PF,2020-10-19 03:39:32,clear sky
39,Hermanus,-34.42,19.23,57.99,87,80,3.29,ZA,2020-10-19 03:39:32,broken clouds
40,Aklavik,68.22,-135.01,5.0,84,20,7.0,CA,2020-10-19 03:39:32,few clouds
41,Gamba,-2.65,10.0,76.41,90,100,8.25,GA,2020-10-19 03:35:22,light rain
